Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map saved to char_map.json
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.01_bs_32/train.log
Model artifacts will be saved to: output/models/lr_0.01_bs_32
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 2700/4196, Loss: 7.7007
  Batch 2750/4196, Loss: 8.0255
  Batch 2800/4196, Loss: 7.5542
  Batch 2850/4196, Loss: 7.2980
  Batch 2900/4196, Loss: 7.4469
  Batch 2950/4196, Loss: 7.8333
  Batch 3000/4196, Loss: 7.7879
  Batch 3050/4196, Loss: 7.6306
  Batch 3100/4196, Loss: 8.1489
  Batch 3150/4196, Loss: 7.2037
  Batch 3200/4196, Loss: 7.6543
  Batch 3250/4196, Loss: 7.5073
  Batch 3300/4196, Loss: 7.5280
  Batch 3350/4196, Loss: 7.7092
  Batch 3400/4196, Loss: 6.8804
  Batch 3450/4196, Loss: 7.6293
  Batch 3500/4196, Loss: 7.7256
  Batch 3550/4196, Loss: 7.5461
  Batch 3600/4196, Loss: 8.3207
  Batch 3650/4196, Loss: 7.8615
  Batch 3700/4196, Loss: 7.9803
  Batch 3750/4196, Loss: 7.8787
  Batch 3800/4196, Loss: 7.3815
  Batch 3850/4196, Loss: 7.3493
  Batch 3900/4196, Loss: 7.5001
  Batch 3950/4196, Loss: 7.7973
  Batch 4000/4196, Loss: 7.3710
  Batch 4050/4196, Loss: 7.8725
  Batch 4100/4196, Loss: 7.5943
  Batch 4150/4196, Loss: 7.6258
Train Loss: 7.8256 Acc: 0.0070
Val Loss: 7.3232 Acc: 0.0212
Validation inference time: 42.2933s total, 1.2602 ms/sample
Best model saved to output/models/lr_0.01_bs_32/best_model.pth
Best model metrics saved to output/logs/lr_0.01_bs_32/best_model_metrics.json and output/logs/lr_0.01_bs_32/best_model_metrics.txt
Epoch time: 381.68s
Checkpoint saved to output/models/lr_0.01_bs_32/latest_checkpoint.pth

Epoch 3/50
----------
  Batch 50/4196, Loss: 7.5308
  Batch 100/4196, Loss: 6.9736
  Batch 150/4196, Loss: 7.9285
  Batch 200/4196, Loss: 7.3920
  Batch 250/4196, Loss: 7.2055
  Batch 300/4196, Loss: 7.9714
  Batch 350/4196, Loss: 7.0542
  Batch 400/4196, Loss: 7.4816
  Batch 450/4196, Loss: 7.2390
  Batch 500/4196, Loss: 7.1752
  Batch 550/4196, Loss: 7.4128
  Batch 600/4196, Loss: 7.5451
  Batch 650/4196, Loss: 7.8776
  Batch 700/4196, Loss: 7.3727
  Batch 750/4196, Loss: 7.6853
  Batch 800/4196, Loss: 7.5133
  Batch 850/4196, Loss: 7.4098
  Batch 900/4196, Loss: 7.0979
  Batch 950/4196, Loss: 7.0146
  Batch 1000/4196, Loss: 8.2910
  Batch 1050/4196, Loss: 8.0892
  Batch 1100/4196, Loss: 7.8801
  Batch 1150/4196, Loss: 7.2049
  Batch 1200/4196, Loss: 7.9756
  Batch 1250/4196, Loss: 7.5486
  Batch 1300/4196, Loss: 7.1429
  Batch 1350/4196, Loss: 7.1221
  Batch 1400/4196, Loss: 7.0728
  Batch 1450/4196, Loss: 6.6925
  Batch 1500/4196, Loss: 7.7688
  Batch 1550/4196, Loss: 7.2097
  Batch 1600/4196, Loss: 6.9219
  Batch 1650/4196, Loss: 7.0343
  Batch 1700/4196, Loss: 7.3703
  Batch 1750/4196, Loss: 7.6908
  Batch 1800/4196, Loss: 7.1936
  Batch 1850/4196, Loss: 6.9295
  Batch 1900/4196, Loss: 7.1327
  Batch 1950/4196, Loss: 7.9459
  Batch 2000/4196, Loss: 6.4100
  Batch 2050/4196, Loss: 7.6167
  Batch 2100/4196, Loss: 7.0345
  Batch 2150/4196, Loss: 6.9155
  Batch 2200/4196, Loss: 7.6988
  Batch 2250/4196, Loss: 7.1674
  Batch 2300/4196, Loss: 8.3763
  Batch 2350/4196, Loss: 7.6593
  Batch 2400/4196, Loss: 7.5051
  Batch 2450/4196, Loss: 6.7269
  Batch 2500/4196, Loss: 6.6884
  Batch 2550/4196, Loss: 7.4417
  Batch 2600/4196, Loss: 6.8178
  Batch 2650/4196, Loss: 6.9005
  Batch 2700/4196, Loss: 8.1270
  Batch 2750/4196, Loss: 7.1043
  Batch 2800/4196, Loss: 7.5313
  Batch 2850/4196, Loss: 6.8978
  Batch 2900/4196, Loss: 7.1441
  Batch 2950/4196, Loss: 7.3766
  Batch 3000/4196, Loss: 7.5605
  Batch 3050/4196, Loss: 7.3670
  Batch 3100/4196, Loss: 7.6787
  Batch 3150/4196, Loss: 6.7076
  Batch 3200/4196, Loss: 7.7172
  Batch 3250/4196, Loss: 7.4807
  Batch 3300/4196, Loss: 7.3089
  Batch 3350/4196, Loss: 6.8415
  Batch 3400/4196, Loss: 6.9095
  Batch 3450/4196, Loss: 6.6182
  Batch 3500/4196, Loss: 7.0945
  Batch 3550/4196, Loss: 7.2001
  Batch 3600/4196, Loss: 7.4827
  Batch 3650/4196, Loss: 7.1962
  Batch 3700/4196, Loss: 7.3205
  Batch 3750/4196, Loss: 6.7171
  Batch 3800/4196, Loss: 7.0463
  Batch 3850/4196, Loss: 7.1146
  Batch 3900/4196, Loss: 6.5797
  Batch 3950/4196, Loss: 7.2021
  Batch 4000/4196, Loss: 7.4577
  Batch 4050/4196, Loss: 6.4014
  Batch 4100/4196, Loss: 7.1508
  Batch 4150/4196, Loss: 6.8880
Train Loss: 7.2626 Acc: 0.0181
Val Loss: 6.5622 Acc: 0.0622
Validation inference time: 42.2914s total, 1.2601 ms/sample
Best model saved to output/models/lr_0.01_bs_32/best_model.pth
Best model metrics saved to output/logs/lr_0.01_bs_32/best_model_metrics.json and output/logs/lr_0.01_bs_32/best_model_metrics.txt
Epoch time: 382.29s
Checkpoint saved to output/models/lr_0.01_bs_32/latest_checkpoint.pth

Epoch 4/50
----------
  Batch 50/4196, Loss: 7.1456
  Batch 100/4196, Loss: 6.9943
  Batch 150/4196, Loss: 6.3911
  Batch 200/4196, Loss: 7.0870
  Batch 250/4196, Loss: 7.2787
  Batch 300/4196, Loss: 6.4597
  Batch 350/4196, Loss: 6.4861
  Batch 400/4196, Loss: 7.2215
  Batch 450/4196, Loss: 6.8075
  Batch 500/4196, Loss: 7.1263
  Batch 550/4196, Loss: 6.6531
  Batch 600/4196, Loss: 7.2400
  Batch 650/4196, Loss: 6.4004
  Batch 700/4196, Loss: 6.6448
  Batch 750/4196, Loss: 6.2825
  Batch 800/4196, Loss: 7.0165
  Batch 850/4196, Loss: 6.3252
  Batch 900/4196, Loss: 6.7468
  Batch 950/4196, Loss: 6.3232
  Batch 1000/4196, Loss: 6.5243
  Batch 1050/4196, Loss: 7.0265
  Batch 1100/4196, Loss: 6.7446
  Batch 1150/4196, Loss: 7.9465
  Batch 1200/4196, Loss: 7.2973
  Batch 1250/4196, Loss: 6.4332
  Batch 1300/4196, Loss: 7.3081
  Batch 1350/4196, Loss: 7.3739
  Batch 1400/4196, Loss: 6.6899
  Batch 1450/4196, Loss: 7.1544
  Batch 1500/4196, Loss: 6.0378
  Batch 1550/4196, Loss: 6.1686
  Batch 1600/4196, Loss: 6.9654
  Batch 1650/4196, Loss: 6.3869
  Batch 1700/4196, Loss: 6.6404
  Batch 1750/4196, Loss: 6.7037
  Batch 1800/4196, Loss: 6.1266
  Batch 1850/4196, Loss: 7.0468
  Batch 1900/4196, Loss: 7.3862
  Batch 1950/4196, Loss: 6.7330
  Batch 2000/4196, Loss: 6.3439
  Batch 2050/4196, Loss: 7.1298
  Batch 2100/4196, Loss: 6.1528
  Batch 2150/4196, Loss: 6.2146
  Batch 2200/4196, Loss: 7.0094
  Batch 2250/4196, Loss: 5.8347
  Batch 2300/4196, Loss: 7.1336
  Batch 2350/4196, Loss: 6.8168
  Batch 2400/4196, Loss: 6.1529
  Batch 2450/4196, Loss: 5.6326
  Batch 2500/4196, Loss: 6.7724
  Batch 2550/4196, Loss: 6.9442
  Batch 2600/4196, Loss: 6.6415
  Batch 2650/4196, Loss: 6.6612
  Batch 2700/4196, Loss: 5.9333
  Batch 2750/4196, Loss: 6.2413
  Batch 2800/4196, Loss: 6.3663
  Batch 2850/4196, Loss: 7.3524
  Batch 2900/4196, Loss: 6.4567
  Batch 2950/4196, Loss: 6.6981
  Batch 3000/4196, Loss: 5.8140
  Batch 3050/4196, Loss: 5.7227
  Batch 3100/4196, Loss: 6.8381
  Batch 3150/4196, Loss: 6.7742
  Batch 3200/4196, Loss: 6.3935
  Batch 3250/4196, Loss: 6.2403
  Batch 3300/4196, Loss: 5.6367
  Batch 3350/4196, Loss: 6.2868
  Batch 3400/4196, Loss: 6.3538
  Batch 3450/4196, Loss: 6.2219
  Batch 3500/4196, Loss: 5.8476
  Batch 3550/4196, Loss: 6.2116
  Batch 3600/4196, Loss: 6.5525
  Batch 3650/4196, Loss: 6.3026
  Batch 3700/4196, Loss: 6.7748
  Batch 3750/4196, Loss: 6.3159
  Batch 3800/4196, Loss: 6.6460
  Batch 3850/4196, Loss: 6.6148
  Batch 3900/4196, Loss: 6.9405
  Batch 3950/4196, Loss: 6.5628
  Batch 4000/4196, Loss: 6.3277
  Batch 4050/4196, Loss: 6.2192
  Batch 4100/4196, Loss: 6.0381
  Batch 4150/4196, Loss: 6.4359
Train Loss: 6.6224 Acc: 0.0428
Val Loss: 5.9089 Acc: 0.1229
Validation inference time: 42.2950s total, 1.2602 ms/sample
Best model saved to output/models/lr_0.01_bs_32/best_model.pth
Best model metrics saved to output/logs/lr_0.01_bs_32/best_model_metrics.json and output/logs/lr_0.01_bs_32/best_model_metrics.txt
Epoch time: 381.66s
Checkpoint saved to output/models/lr_0.01_bs_32/latest_checkpoint.pth

Epoch 5/50
----------
  Batch 50/4196, Loss: 6.3520
  Batch 100/4196, Loss: 7.0981
  Batch 150/4196, Loss: 6.3497
  Batch 200/4196, Loss: 6.5671
  Batch 250/4196, Loss: 5.9703
  Batch 300/4196, Loss: 6.1451
  Batch 350/4196, Loss: 6.0649
  Batch 400/4196, Loss: 5.9888
  Batch 450/4196, Loss: 6.0712
  Batch 500/4196, Loss: 5.9671
  Batch 550/4196, Loss: 6.6068
  Batch 600/4196, Loss: 6.1347
  Batch 650/4196, Loss: 5.8135
  Batch 700/4196, Loss: 5.5225
  Batch 750/4196, Loss: 6.5020
  Batch 800/4196, Loss: 5.3032
  Batch 850/4196, Loss: 5.9643
  Batch 900/4196, Loss: 6.2188
  Batch 950/4196, Loss: 5.8594
  Batch 1000/4196, Loss: 5.9076
  Batch 1050/4196, Loss: 6.5149
  Batch 1100/4196, Loss: 6.8063
  Batch 1150/4196, Loss: 5.9005
  Batch 1200/4196, Loss: 5.3210
  Batch 1250/4196, Loss: 6.0705
  Batch 1300/4196, Loss: 5.8213
  Batch 1350/4196, Loss: 6.2201
  Batch 1400/4196, Loss: 6.0167
  Batch 1450/4196, Loss: 5.9949
  Batch 1500/4196, Loss: 6.0661
  Batch 1550/4196, Loss: 5.8052
  Batch 1600/4196, Loss: 5.6548
  Batch 1650/4196, Loss: 6.1838
  Batch 1700/4196, Loss: 6.2548
  Batch 1750/4196, Loss: 6.4765
  Batch 1800/4196, Loss: 6.4441
  Batch 1850/4196, Loss: 6.9734
  Batch 1900/4196, Loss: 6.8676
  Batch 1950/4196, Loss: 5.5708
  Batch 2000/4196, Loss: 6.5550
  Batch 2050/4196, Loss: 6.4111
  Batch 2100/4196, Loss: 5.8286
  Batch 2150/4196, Loss: 6.6531
  Batch 2200/4196, Loss: 5.9938
  Batch 2250/4196, Loss: 6.1903
  Batch 2300/4196, Loss: 5.6988
  Batch 2350/4196, Loss: 6.2965
  Batch 2400/4196, Loss: 6.0692
  Batch 2450/4196, Loss: 6.5829
  Batch 2500/4196, Loss: 5.2299
  Batch 2550/4196, Loss: 6.0024
  Batch 2600/4196, Loss: 5.9391
  Batch 2650/4196, Loss: 5.8225
  Batch 2700/4196, Loss: 5.2801
  Batch 2750/4196, Loss: 5.9388
  Batch 2800/4196, Loss: 6.1265
  Batch 2850/4196, Loss: 5.3578
  Batch 2900/4196, Loss: 5.5737
  Batch 2950/4196, Loss: 5.5451
  Batch 3000/4196, Loss: 5.9794
  Batch 3050/4196, Loss: 5.9181
  Batch 3100/4196, Loss: 6.1498
  Batch 3150/4196, Loss: 6.6228
  Batch 3200/4196, Loss: 5.6677
  Batch 3250/4196, Loss: 6.3367
  Batch 3300/4196, Loss: 6.3826
  Batch 3350/4196, Loss: 5.2557
  Batch 3400/4196, Loss: 6.1896
  Batch 3450/4196, Loss: 6.5894
  Batch 3500/4196, Loss: 5.2643
  Batch 3550/4196, Loss: 5.9156
  Batch 3600/4196, Loss: 5.1931
  Batch 3650/4196, Loss: 5.9108
  Batch 3700/4196, Loss: 6.3135
  Batch 3750/4196, Loss: 5.9592
  Batch 3800/4196, Loss: 5.1728
  Batch 3850/4196, Loss: 5.5947
  Batch 3900/4196, Loss: 6.1891
  Batch 3950/4196, Loss: 6.9098
  Batch 4000/4196, Loss: 5.0292
  Batch 4050/4196, Loss: 5.0830
  Batch 4100/4196, Loss: 6.8300
  Batch 4150/4196, Loss: 5.9974
Train Loss: 6.0149 Acc: 0.0761
Val Loss: 5.7138 Acc: 0.1889
Validation inference time: 42.2957s total, 1.2603 ms/sample
Best model saved to output/models/lr_0.01_bs_32/best_model.pth
Best model metrics saved to output/logs/lr_0.01_bs_32/best_model_metrics.json and output/logs/lr_0.01_bs_32/best_model_metrics.txt
Epoch time: 381.55s
Checkpoint saved to output/models/lr_0.01_bs_32/checkpoint_epoch_5.pth
Checkpoint saved to output/models/lr_0.01_bs_32/latest_checkpoint.pth

Epoch 6/50
----------
  Batch 50/4196, Loss: 6.0939
  Batch 100/4196, Loss: 5.1551
  Batch 150/4196, Loss: 5.5179
  Batch 200/4196, Loss: 5.4680
  Batch 250/4196, Loss: 5.2069
  Batch 300/4196, Loss: 5.4833
  Batch 350/4196, Loss: 6.1633
  Batch 400/4196, Loss: 5.3441
  Batch 450/4196, Loss: 5.8201
  Batch 500/4196, Loss: 6.0955
  Batch 550/4196, Loss: 5.6937
  Batch 600/4196, Loss: 5.7101
  Batch 650/4196, Loss: 4.8871
  Batch 700/4196, Loss: 5.6496
  Batch 750/4196, Loss: 5.4233
  Batch 800/4196, Loss: 6.4069
  Batch 850/4196, Loss: 5.6756
  Batch 900/4196, Loss: 5.0746
  Batch 950/4196, Loss: 4.6852
  Batch 1000/4196, Loss: 5.6307
  Batch 1050/4196, Loss: 5.1375
  Batch 1100/4196, Loss: 5.1434
  Batch 1150/4196, Loss: 5.8724
