Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map already exists, skipping creation.
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.0005_bs_16/train.log
Model artifacts will be saved to: output/models/lr_0.0005_bs_16
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 7300/8391, Loss: 8.1469
  Batch 7350/8391, Loss: 7.5170
  Batch 7400/8391, Loss: 7.4589
  Batch 7450/8391, Loss: 7.2086
  Batch 7500/8391, Loss: 6.9898
  Batch 7550/8391, Loss: 6.6658
  Batch 7600/8391, Loss: 6.9687
  Batch 7650/8391, Loss: 7.3864
  Batch 7700/8391, Loss: 7.7337
  Batch 7750/8391, Loss: 6.4941
  Batch 7800/8391, Loss: 7.2272
  Batch 7850/8391, Loss: 7.4305
  Batch 7900/8391, Loss: 7.2544
  Batch 7950/8391, Loss: 7.9009
  Batch 8000/8391, Loss: 6.4605
  Batch 8050/8391, Loss: 6.4469
  Batch 8100/8391, Loss: 6.9151
  Batch 8150/8391, Loss: 7.0188
  Batch 8200/8391, Loss: 6.9715
  Batch 8250/8391, Loss: 7.0315
  Batch 8300/8391, Loss: 6.5381
  Batch 8350/8391, Loss: 8.9209
Train Loss: 7.8100 Acc: 0.0120
Val Loss: 6.8304 Acc: 0.0469
Validation inference time: 45.0336s total, 1.3418 ms/sample
Best model saved to output/models/lr_0.0005_bs_16/best_model.pth
Best model metrics saved to output/logs/lr_0.0005_bs_16/best_model_metrics.json and output/logs/lr_0.0005_bs_16/best_model_metrics.txt
Epoch time: 412.31s
Checkpoint saved to output/models/lr_0.0005_bs_16/latest_checkpoint.pth

Epoch 2/50
----------
  Batch 50/8391, Loss: 7.2958
  Batch 100/8391, Loss: 6.2829
  Batch 150/8391, Loss: 6.8154
  Batch 200/8391, Loss: 6.5654
  Batch 250/8391, Loss: 7.1554
  Batch 300/8391, Loss: 6.6472
  Batch 350/8391, Loss: 6.3689
  Batch 400/8391, Loss: 6.8809
  Batch 450/8391, Loss: 6.5905
  Batch 500/8391, Loss: 6.3577
  Batch 550/8391, Loss: 7.1839
  Batch 600/8391, Loss: 6.8269
  Batch 650/8391, Loss: 6.7673
  Batch 700/8391, Loss: 6.3623
  Batch 750/8391, Loss: 6.8568
  Batch 800/8391, Loss: 5.7237
  Batch 850/8391, Loss: 6.6257
  Batch 900/8391, Loss: 7.0443
  Batch 950/8391, Loss: 6.7870
  Batch 1000/8391, Loss: 6.6978
  Batch 1050/8391, Loss: 6.7992
  Batch 1100/8391, Loss: 6.3894
  Batch 1150/8391, Loss: 6.3754
  Batch 1200/8391, Loss: 7.2963
  Batch 1250/8391, Loss: 6.6024
  Batch 1300/8391, Loss: 6.4502
  Batch 1350/8391, Loss: 6.7716
  Batch 1400/8391, Loss: 6.6960
  Batch 1450/8391, Loss: 6.6760
  Batch 1500/8391, Loss: 6.7453
  Batch 1550/8391, Loss: 6.9951
  Batch 1600/8391, Loss: 6.7805
  Batch 1650/8391, Loss: 6.7575
  Batch 1700/8391, Loss: 7.9596
  Batch 1750/8391, Loss: 6.4184
  Batch 1800/8391, Loss: 6.7603
  Batch 1850/8391, Loss: 6.8801
  Batch 1900/8391, Loss: 7.3903
  Batch 1950/8391, Loss: 5.4026
  Batch 2000/8391, Loss: 5.8675
  Batch 2050/8391, Loss: 6.9013
  Batch 2100/8391, Loss: 6.2061
  Batch 2150/8391, Loss: 7.2399
  Batch 2200/8391, Loss: 7.3525
  Batch 2250/8391, Loss: 7.4641
  Batch 2300/8391, Loss: 5.4796
  Batch 2350/8391, Loss: 5.7140
  Batch 2400/8391, Loss: 6.6030
  Batch 2450/8391, Loss: 7.0869
  Batch 2500/8391, Loss: 6.9986
  Batch 2550/8391, Loss: 6.0626
  Batch 2600/8391, Loss: 6.8399
  Batch 2650/8391, Loss: 6.6818
  Batch 2700/8391, Loss: 6.6531
  Batch 2750/8391, Loss: 5.7898
  Batch 2800/8391, Loss: 5.5628
  Batch 2850/8391, Loss: 5.8433
  Batch 2900/8391, Loss: 6.4073
  Batch 2950/8391, Loss: 6.7709
  Batch 3000/8391, Loss: 6.1847
  Batch 3050/8391, Loss: 5.6839
  Batch 3100/8391, Loss: 6.2282
  Batch 3150/8391, Loss: 5.8351
  Batch 3200/8391, Loss: 5.8232
  Batch 3250/8391, Loss: 6.9182
  Batch 3300/8391, Loss: 5.5398
  Batch 3350/8391, Loss: 6.0148
  Batch 3400/8391, Loss: 6.2140
  Batch 3450/8391, Loss: 5.9073
  Batch 3500/8391, Loss: 5.4790
  Batch 3550/8391, Loss: 6.3387
  Batch 3600/8391, Loss: 7.0449
  Batch 3650/8391, Loss: 6.0972
  Batch 3700/8391, Loss: 6.3158
  Batch 3750/8391, Loss: 5.4744
  Batch 3800/8391, Loss: 5.6933
  Batch 3850/8391, Loss: 6.2948
  Batch 3900/8391, Loss: 5.7946
  Batch 3950/8391, Loss: 5.6766
  Batch 4000/8391, Loss: 6.6897
  Batch 4050/8391, Loss: 6.1947
  Batch 4100/8391, Loss: 5.4816
  Batch 4150/8391, Loss: 7.7753
  Batch 4200/8391, Loss: 5.9253
  Batch 4250/8391, Loss: 7.0714
  Batch 4300/8391, Loss: 5.8685
  Batch 4350/8391, Loss: 6.6872
  Batch 4400/8391, Loss: 5.8024
  Batch 4450/8391, Loss: 6.5069
  Batch 4500/8391, Loss: 5.8260
  Batch 4550/8391, Loss: 5.1037
  Batch 4600/8391, Loss: 5.4372
  Batch 4650/8391, Loss: 5.6838
  Batch 4700/8391, Loss: 6.8651
  Batch 4750/8391, Loss: 5.9755
  Batch 4800/8391, Loss: 7.3162
  Batch 4850/8391, Loss: 6.7568
  Batch 4900/8391, Loss: 5.7496
  Batch 4950/8391, Loss: 6.1376
  Batch 5000/8391, Loss: 6.1297
  Batch 5050/8391, Loss: 6.2713
  Batch 5100/8391, Loss: 5.5948
  Batch 5150/8391, Loss: 5.8260
  Batch 5200/8391, Loss: 5.2369
  Batch 5250/8391, Loss: 5.9852
  Batch 5300/8391, Loss: 5.5284
  Batch 5350/8391, Loss: 5.1480
  Batch 5400/8391, Loss: 5.9242
  Batch 5450/8391, Loss: 7.0063
  Batch 5500/8391, Loss: 5.8156
  Batch 5550/8391, Loss: 5.3528
  Batch 5600/8391, Loss: 5.3845
  Batch 5650/8391, Loss: 6.8359
  Batch 5700/8391, Loss: 4.9398
  Batch 5750/8391, Loss: 5.5400
  Batch 5800/8391, Loss: 5.1680
  Batch 5850/8391, Loss: 5.6055
  Batch 5900/8391, Loss: 6.2242
  Batch 5950/8391, Loss: 4.3194
  Batch 6000/8391, Loss: 6.1559
  Batch 6050/8391, Loss: 6.6743
  Batch 6100/8391, Loss: 6.2844
  Batch 6150/8391, Loss: 6.1910
  Batch 6200/8391, Loss: 5.5522
  Batch 6250/8391, Loss: 5.6944
  Batch 6300/8391, Loss: 5.0668
  Batch 6350/8391, Loss: 6.1384
  Batch 6400/8391, Loss: 5.9932
  Batch 6450/8391, Loss: 4.5865
  Batch 6500/8391, Loss: 6.0078
  Batch 6550/8391, Loss: 5.1025
  Batch 6600/8391, Loss: 6.2233
  Batch 6650/8391, Loss: 5.1969
  Batch 6700/8391, Loss: 4.6943
  Batch 6750/8391, Loss: 7.4004
  Batch 6800/8391, Loss: 6.1002
  Batch 6850/8391, Loss: 6.0240
  Batch 6900/8391, Loss: 4.9014
  Batch 6950/8391, Loss: 6.3513
  Batch 7000/8391, Loss: 6.1938
  Batch 7050/8391, Loss: 5.4430
  Batch 7100/8391, Loss: 5.9778
  Batch 7150/8391, Loss: 4.6256
  Batch 7200/8391, Loss: 4.5309
  Batch 7250/8391, Loss: 5.3547
  Batch 7300/8391, Loss: 5.2865
  Batch 7350/8391, Loss: 5.2076
  Batch 7400/8391, Loss: 5.2555
