epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,epoch_time_seconds
1,7.809963904611793,0.011993087214326152,6.83044508181874,0.04686987872828581,0.04686987872828581,412.31447874498554
2,6.167037656361851,0.09297249783975448,5.135769293875942,0.22091117666338905,0.22091117666338905,411.89052393997554
3,4.569764059152078,0.24202198980960044,3.635684205815056,0.4052322636393433,0.4052322636393433,410.68678632203955
4,3.378617340971178,0.3800095348767915,2.810845130099638,0.5233753463841959,0.5233753463841959,410.68542094598524
5,2.5790455616691577,0.48637555495962576,2.299488180780051,0.6020976728941331,0.6020976728941331,410.1861523829866
6,2.059698861118636,0.5676231339948155,2.017677986527018,0.6478948779833735,0.6478948779833735,410.9439963210607
7,1.7118594177658468,0.6245344298441644,1.8567628181150113,0.6781085188164834,0.6781085188164834,411.6760212350637
8,1.4612463845111507,0.6699219331962695,1.7157806525095858,0.700873037156223,0.700873037156223,411.3023146230262
9,1.2726293695736322,0.7065120228837043,1.6547488009154252,0.717529275051399,0.717529275051399,411.2023743740283
10,1.1175419145893744,0.7365617830219601,1.6091432741943537,0.7268555764130985,0.7268555764130985,410.43015791499056
11,1.004995809943403,0.7582610768451477,1.5821578733074464,0.7430946634486457,0.7430946634486457,412.03935577196535
12,0.9008090647450256,0.7798709811984148,1.5156001746077308,0.7485474211137928,0.7485474211137928,409.49403027491644
13,0.8221985040423072,0.7955960787819195,1.5973879222236052,0.7509013438216978,0.7509013438216978,408.9623846600298
14,0.7494296168803082,0.811358421977891,1.5282046316034876,0.7589463961145377,0.7589463961145377,410.1071520340629
15,0.6861694392516935,0.8244465301987426,1.8089364610324012,0.7586484312148029,0.7589463961145377,409.8305486260215
16,0.6300347152812009,0.8368642173951909,1.6463835137360912,0.7607043890229731,0.7607043890229731,411.2689749900019
17,0.582325827747602,0.8469726766186944,2.037743229603143,0.7657697923184649,0.7657697923184649,412.74048551893793
18,0.5356056885803517,0.8578632937040017,1.5586447057232826,0.7687196448258395,0.7687196448258395,413.313879452995
19,0.4987736545382815,0.8653496618098389,1.7577933676212067,0.7708649921039301,0.7708649921039301,413.2154660910601
20,0.47078290218781255,0.8714951878668693,1.5915077276600476,0.7753940585798993,0.7753940585798993,413.13666370802093
21,0.4363888791931263,0.8799573910193379,1.7271259463609787,0.7774500163880695,0.7774500163880695,411.7001072219573
22,0.41242694863338875,0.8850674890497899,1.6542770587115878,0.778165132147433,0.778165132147433,411.95980433607474
23,0.3876282454925826,0.8916599624564227,2.213054422311888,0.7783737075772474,0.7783737075772474,411.7650657950435
24,0.36698421889823435,0.896635976281994,2.1388611114023606,0.7779863532075921,0.7783737075772474,411.1978388080606
25,0.34211056590625716,0.9018578111498465,1.9561191745636761,0.7806084443252584,0.7806084443252584,412.14908216008916
26,0.3277642129025786,0.9052695092518102,1.9391876906991263,0.7817109144542773,0.7817109144542773,410.460343522951
27,0.31152149669479484,0.9105136914871428,2.0380067514504674,0.7804594618753911,0.7817109144542773,410.57208354293834
28,0.29180813727380406,0.9147149965734036,1.8071789712203081,0.7824856231935878,0.7824856231935878,410.944198063924
29,0.28303333974191763,0.9165027859718126,1.9555191576645368,0.7841542266321028,0.7841542266321028,411.08304282301106
30,0.26962660500049196,0.9197208068889485,1.9809991832389549,0.7809957986949138,0.7841542266321028,410.52276232803706
31,0.2572488778369766,0.9232740383182861,1.8024880511659067,0.7826048091534817,0.7841542266321028,409.8523845409509
32,0.2459379531815415,0.9272444206072524,1.7661605113109657,0.7853758827210154,0.7853758827210154,410.1491773140151
33,0.23700167156388735,0.9298143678674652,1.8746952004141844,0.7845713774917314,0.7853758827210154,408.98562742897775
34,0.2261685491970914,0.9314457256935134,2.1218865244835525,0.7843925985518906,0.7853758827210154,408.7630375570152
35,0.21701453503126977,0.9350287536128244,1.9107303436673935,0.7862399809302464,0.7862399809302464,409.6428578159539
36,0.2096345671666813,0.9366973570513394,1.9341342340140157,0.7860016090104586,0.7862399809302464,409.29926909902133
37,0.20386203729211866,0.9373081850957957,1.8550408419305666,0.7884747176782575,0.7884747176782575,409.698890735046
38,0.19575958024705256,0.9405113077679449,2.3461873824980253,0.7896963737671703,0.7896963737671703,410.11520337697584
39,0.18772865805837588,0.9423363427788206,2.6244609950902915,0.7911564017758708,0.7911564017758708,409.81681750598364
40,0.18407493639011535,0.9440794374422693,2.2843219211718493,0.7921396859449957,0.7921396859449957,409.94411102705635
41,0.17809004750593685,0.9451670093263014,2.2827254514695583,0.7876702124489735,0.7921396859449957,409.4635789610911
42,0.17851862895248444,0.9460981496379727,1.8537347571870104,0.788444921188284,0.7921396859449957,409.33474463492166
43,0.17209713023606257,0.9473198057268853,1.946162928575441,0.7867465212597956,0.7921396859449957,409.9691743060248
44,0.16416009262120698,0.9498152617621645,2.0807622581491025,0.7887130895980453,0.7921396859449957,409.5561849249061
45,0.1633390846294201,0.9499716933345252,2.0929714987177235,0.7914245701856322,0.7921396859449957,409.32447484508157
46,0.15634026601956658,0.9522436756950031,2.0638786182267617,0.7907094544262686,0.7921396859449957,409.1269215659704
47,0.1512682578215573,0.9525863353296982,2.7453078784241756,0.7866273352999017,0.7921396859449957,409.2418288049521
48,0.1488087517236685,0.9536515598462502,3.173185510166263,0.7922588719048896,0.7922588719048896,410.05793030001223
49,0.14673365032266733,0.9550743422424839,2.305798101343164,0.788504514168231,0.7922588719048896,409.2137848578859
50,0.14248683477745125,0.9557969071243407,2.0129329776172646,0.7897857632370907,0.7922588719048896,409.0344476380851
